Sample	Group	Exclude
Embryo_green_cotyledon_20C_WT	Embryo	
Embryo_mature_green_cotyledon_LD_WT	Embryo	
Embryo_mature_green_WT	Embryo	
Inflorescences_5_6wLD_WT	Influorescence	
Inflorescences_5wLD_WT_A	Influorescence	
Inflorescences_LD_WT_A	Influorescence	
Leaves_35dSD_WT	Leaf	
Rosette_3wHD_WT	Leaf	
Rosette_3wLD_0h_37C_WT	Leaf	
Roots_16dLD_WT	Root	
Roots_2wLD_WT_A	Root	
Seeds_12hAI_WT	Seed	
Seeds_germinating_12hS	Seed	
Seeds_germinating_1hS	Seed	
Siliques_5wLD_WT	Silique	
Siliques_mature_WT_1	Silique	
Siliques_mature_WT_2	Silique	
