ExCluster_ID	GeneID	Coordinate	Species	Membership_score
GF_000001.001	AT5G27380	chr5:9668214-9668334:-	araTha10	0.600
GF_000001.001	ENSG00000100983	chr20:34928831-34928951:-	hg38	0.600
GF_000001.002	AT5G27380	chr5:9668425-9668617:-	araTha10	0.600
GF_000001.002	ENSG00000100983	chr20:34929401-34929590:-	hg38	0.600
GF_000001.003	AT5G27380	chr5:9669126-9669195:-	araTha10	0.600
GF_000001.003	ENSG00000100983	chr20:34935576-34935642:-	hg38	0.600
GF_000001.004	AT5G27380	chr5:9669278-9669358:-	araTha10	0.600
GF_000001.004	ENSG00000100983	chr20:34936763-34936840:-	hg38	0.600
GF_000001.005	AT5G27380	chr5:9669467-9669547:-	araTha10	0.600
GF_000001.005	ENSG00000100983	chr20:34936943-34937023:-	hg38	0.600
GF_000001.006	AT5G27380	chr5:9669630-9669752:-	araTha10	0.600
GF_000001.006	ENSG00000100983	chr20:34941713-34941829:-	hg38	0.600
GF_000001.007	AT5G27380	chr5:9669835-9669965:-	araTha10	0.380
GF_000001.007	ENSG00000100983	chr20:34942488-34942627:-	hg38	0.540
GF_000001.007	FBgn0030882	chrX:17891588-17891934:+	dm6	0.140
GF_000001.007	FBgn0030882	chrX:17896528-17896661:+	dm6	0.290
GF_000001.007	FBgn0052495	chrX:17901743-17902089:+	dm6	0.140
GF_000001.007	FBgn0052495	chrX:17903948-17904081:+	dm6	0.290
GF_000001.008	AT5G27380	chr5:9670051-9670126:-	araTha10	0.600
GF_000001.008	ENSG00000100983	chr20:34942931-34943006:-	hg38	0.600
GF_000001.009	AT5G27380	chr5:9670210-9670379:-	araTha10	0.110
GF_000001.009	ENSG00000100983	chr20:34945953-34946098:-	hg38	0.330
GF_000001.009	FBgn0030882	chrX:17890461-17890673:+	dm6	0.140
GF_000001.009	FBgn0052495	chrX:17900616-17900828:+	dm6	0.140
GF_000001.010	AT5G27380	chr5:9670604-9670912:-	araTha10	0.110
GF_000001.010	ENSG00000100983	chr20:34951724-34951852:-	hg38	0.780
GF_000001.010	FBgn0030882	chrX:17889991-17890149:+	dm6	0.430
GF_000001.010	FBgn0052495	chrX:17900146-17900304:+	dm6	0.430
GF_000002.001	AT1G74260	chr1:27923008-27923819:-	araTha10	0.250
GF_000002.001	WBGene00008654	chrIII:4618925-4619338:-	ce11	0.250
GF_000002.002	ENSG00000178921	chr17:8268533-8268993:+	hg38	0.250
GF_000002.002	WBGene00008654	chrIII:4619482-4619693:-	ce11	0.250
GF_000003.001	AT2G36960	chr2:15527069-15527242:+	araTha10	0.250
GF_000003.001	WBGene00020111	chrIII:7226972-7227170:-	ce11	0.250
GF_000003.002	ENSG00000007545	chr16:1632212-1632365:+	hg38	0.250
GF_000003.002	WBGene00020111	chrIII:7229294-7229423:-	ce11	0.250
GF_000003.003	ENSG00000007545	chr16:1652496-1652581:+	hg38	0.250
GF_000003.003	WBGene00020111	chrIII:7228992-7229068:-	ce11	0.250
GF_000005.001	AT5G65490	chr5:26178006-26178182:-	araTha10	0.600
GF_000005.001	ENSG00000122882	chr10:73134586-73134813:-	hg38	0.600
GF_000005.002	ENSG00000122882	chr10:73163733-73163937:-	hg38	0.570
GF_000005.002	FBgn0000543	chr3L:2265496-2265775:-	dm6	0.140
GF_000005.002	WBGene00008951	chrX:10000939-10001068:+	ce11	0.430
GF_000006.001	AT5G41360	chr5:16548061-16548133:+	araTha10	0.200
GF_000006.001	AT5G41370	chr5:16554760-16554832:+	araTha10	0.200
GF_000006.001	ENSG00000163161	chr2:127272865-127272961:-	hg38	0.290
GF_000006.002	ENSG00000163161	chr2:127294054-127294081:-	hg38	0.200
GF_000006.002	FBgn0001179	chr3L:10631408-10631459:+	dm6	0.200
GF_000006.003	AT5G41360	chr5:16548750-16549118:+	araTha10	0.200
GF_000006.003	AT5G41370	chr5:16555418-16555789:+	araTha10	0.200
GF_000006.003	FBgn0001179	chr3L:10633376-10633918:+	dm6	0.290
GF_000007.001	AT1G01740	chr1:273653-273788:-	araTha10	0.080
GF_000007.001	ENSG00000100154	chr22:28306496-28306643:-	hg38	0.080
GF_000007.002	AT1G63500	chr1:23556724-23556857:+	araTha10	0.070
GF_000007.002	AT2G17090	chr2:7436484-7436617:-	araTha10	0.070
GF_000007.002	ENSG00000011485	chr19:46376453-46376574:+	hg38	0.180
GF_000007.002	FBgn0005777	chr3R:9749126-9749247:+	dm6	0.290
GF_000007.003	AT2G42810	chr2:17812339-17812395:-	araTha10	0.410
GF_000007.003	ENSG00000011485	chr19:46390284-46390343:+	hg38	0.410
GF_000007.003	FBgn0005777	chr3R:9750285-9750341:+	dm6	0.410
GF_000007.003	WBGene00012665	chrV:19198840-19198920:+	ce11	0.180
GF_000007.004	AT2G42810	chr2:17813085-17813333:-	araTha10	0.070
GF_000007.004	ENSG00000011485	chr19:46387093-46387235:+	hg38	0.130
GF_000007.004	WBGene00012665	chrV:19193537-19193785:+	ce11	0.070
GF_000007.005	AT2G42810	chr2:17814889-17815039:-	araTha10	0.400
GF_000007.005	ENSG00000011485	chr19:46375604-46375751:+	hg38	0.400
GF_000007.005	FBgn0005777	chr3R:9748910-9749060:+	dm6	0.400
GF_000007.006	AT1G01740	chr1:274167-274239:-	araTha10	0.060
GF_000007.006	AT2G42810	chr2:17815821-17815896:-	araTha10	0.410
GF_000007.006	AT3G54030	chr3:20011162-20011246:+	araTha10	0.060
GF_000007.006	AT5G59010	chr5:23823018-23823099:-	araTha10	0.060
GF_000007.006	ENSG00000011485	chr19:46347097-46347217:+	hg38	0.520
GF_000007.006	FBgn0005777	chr3R:9748218-9748401:+	dm6	0.300
GF_000007.006	WBGene00012665	chrV:19190555-19190678:+	ce11	0.390
GF_000007.007	AT2G42810	chr2:17815396-17815467:-	araTha10	0.060
GF_000007.007	AT2G42810	chr2:17815543-17815712:-	araTha10	0.120
GF_000007.007	AT3G09240	chr3:2837699-2837956:-	araTha10	0.060
GF_000007.007	ENSG00000011485	chr19:46353748-46353989:+	hg38	0.380
GF_000007.007	FBgn0005777	chr3R:9748612-9748853:+	dm6	0.290
GF_000007.007	WBGene00012665	chrV:19190737-19190984:+	ce11	0.380
GF_000007.008	AT2G17090	chr2:7436179-7436264:-	araTha10	0.080
GF_000007.008	ENSG00000011485	chr19:46388408-46388448:+	hg38	0.080
GF_000007.009	ENSG00000011485	chr19:46390051-46390132:+	hg38	0.230
GF_000007.009	FBgn0005777	chr3R:9750148-9750229:+	dm6	0.230
GF_000007.010	ENSG00000100154	chr22:27982224-27983851:-	hg38	0.080
GF_000007.010	FBgn0262719	chr3L:8473010-8474742:-	dm6	0.080
GF_000009.001	AT1G03457	chr1:861112-861278:-	araTha10	0.490
GF_000009.001	AT1G03457	chr1:861368-861511:-	araTha10	0.160
GF_000009.001	AT4G03110	chr4:1376615-1376760:-	araTha10	0.670
GF_000009.001	ENSG00000048740	chr10:11325836-11325979:+	hg38	0.150
GF_000009.001	ENSG00000048740	chr10:11328926-11329050:+	hg38	0.390
GF_000009.001	ENSG00000101489	chr18:37253855-37253938:-	hg38	0.420
GF_000009.001	ENSG00000101489	chr18:37259116-37259264:-	hg38	0.120
GF_000009.001	ENSG00000149187	chr11:47472233-47472357:-	hg38	0.390
GF_000009.001	ENSG00000149187	chr11:47473088-47473231:-	hg38	0.150
GF_000009.001	ENSG00000159409	chr1:151705044-151705168:-	hg38	0.450
GF_000009.001	ENSG00000159409	chr1:151705822-151705965:-	hg38	0.120
